sound,light,label
24.49,10.0,dark
28.98,10.0,dark
17.85,11.0,dark
15.95,11.0,dark
15.49,12.0,dark
18.2,12.0,dark
14.76,11.0,dark
19.31,11.0,dark
34.69,10.0,dark
23.47,10.0,dark
19.21,10.0,dark
30.56,10.0,dark
36.88,11.0,dark
33.95,11.0,dark
34.24,12.0,dark
30.01,12.0,dark
11.29,10.0,dark
14.8,10.0,dark
14.82,12.0,dark
15.57,12.0,dark
12.32,7.0,dark
10.62,7.0,dark
16.79,7.0,dark
15.16,7.0,dark
10.81,8.0,dark
21.72,8.0,dark
10.13,10.0,dark
26.56,10.0,dark
18.29,10.0,dark
35.16,10.0,dark
9.16,12.0,dark
11.62,12.0,dark
14.29,13.0,dark
19.78,13.0,dark
13.18,13.0,dark
12.37,13.0,dark
16.0,5.0,dark
47.53,5.0,dark
87.06,5.0,dark
13.73,5.0,dark
18.94,4.0,dark
11.99,4.0,dark
25.93,3.0,dark
24.07,3.0,dark
40.57,3.0,dark
18.05,3.0,dark
44.94,3.0,dark
60.51,3.0,dark
53.08,0.0,dark
93.48,0.0,dark
34.5,0.0,dark
55.48,0.0,dark
24.35,0.0,dark
13.21,0.0,dark
76.15,3.0,dark
200.26,3.0,dark
78.81,3.0,dark
56.21,3.0,dark
28.51,9.0,dark
21.32,9.0,dark
20.01,9.0,dark
21.4,9.0,dark
34.12,10.0,dark
12.31,10.0,dark
27.08,3.0,dark
38.91,3.0,dark
46.26,3.0,dark
23.81,3.0,dark
117.67,4.0,dark
39.85,4.0,dark
12.42,4.0,dark
