sound,light,label
14.12,341.0,focus
12.42,356.0,focus
11.93,356.0,focus
13.3,368.0,focus
13.1,368.0,focus
16.85,363.0,focus
14.96,363.0,focus
12.42,341.0,focus
20.95,341.0,focus
21.5,365.0,focus
14.92,365.0,focus
12.36,356.0,focus
13.77,356.0,focus
13.34,369.0,focus
11.89,369.0,focus
13.0,150.0,focus
12.05,150.0,focus
13.12,150.0,focus
12.89,150.0,focus
12.71,150.0,focus
12.69,150.0,focus
16.02,148.0,focus
14.2,148.0,focus
15.09,145.0,focus
13.79,145.0,focus
14.66,144.0,focus
12.15,144.0,focus
13.19,144.0,focus
11.45,144.0,focus
13.28,124.0,focus
14.59,124.0,focus
14.67,126.0,focus
12.12,126.0,focus
15.75,139.0,focus
16.13,139.0,focus
16.21,136.0,focus
17.51,136.0,focus
14.68,135.0,focus
15.34,135.0,focus
18.67,136.0,focus
11.87,136.0,focus
13.32,137.0,focus
14.56,137.0,focus
14.4,321.0,focus
12.4,321.0,focus
15.9,327.0,focus
13.78,327.0,focus
13.43,339.0,focus
12.41,339.0,focus
14.73,300.0,focus
12.59,300.0,focus
16.19,293.0,focus
13.84,293.0,focus
14.37,291.0,focus
13.1,291.0,focus
13.26,299.0,focus
13.36,299.0,focus
13.55,315.0,focus
14.28,315.0,focus
11.84,309.0,focus
13.35,309.0,focus
15.54,292.0,focus
15.32,292.0,focus
16.13,314.0,focus
14.35,314.0,focus
12.12,314.0,focus
13.01,314.0,focus
12.96,309.0,focus
12.51,309.0,focus
12.34,315.0,focus
12.61,315.0,focus
