sound,light,label
54.66,399.0,noisy
73.59,399.0,noisy
107.8,23.0,noisy
133.85,23.0,noisy
23.77,6.0,noisy
21.37,6.0,noisy
61.88,5.0,noisy
121.58,245.0,noisy
29.67,245.0,noisy
28.28,232.0,noisy
32.52,221.0,noisy
27.95,221.0,noisy
54.52,178.0,noisy
73.12,178.0,noisy
52.57,179.0,noisy
65.44,179.0,noisy
59.06,226.0,noisy
61.35,226.0,noisy
57.69,225.0,noisy
63.72,225.0,noisy
74.24,235.0,noisy
58.83,235.0,noisy
60.8,237.0,noisy
78.5,237.0,noisy
92.39,240.0,noisy
67.45,240.0,noisy
90.16,129.0,noisy
58.04,129.0,noisy
39.1,133.0,noisy
43.35,133.0,noisy
22.29,133.0,noisy
24.64,133.0,noisy
20.09,133.0,noisy
20.02,133.0,noisy
25.33,135.0,noisy
20.96,135.0,noisy
25.08,135.0,noisy
22.94,135.0,noisy
22.52,135.0,noisy
22.59,135.0,noisy
25.04,135.0,noisy
24.42,135.0,noisy
30.72,135.0,noisy
28.06,135.0,noisy
27.19,135.0,noisy
31.32,135.0,noisy
24.78,135.0,noisy
28.04,135.0,noisy
25.87,135.0,noisy
28.71,135.0,noisy
29.55,135.0,noisy
26.35,140.0,noisy
40.65,140.0,noisy
30.96,141.0,noisy
25.05,141.0,noisy
31.06,141.0,noisy
28.3,141.0,noisy
26.17,70.0,noisy
22.55,70.0,noisy
28.17,26.0,noisy
25.46,26.0,noisy
38.53,26.0,noisy
43.25,26.0,noisy
73.66,25.0,noisy
69.4,25.0,noisy
69.74,25.0,noisy
77.02,25.0,noisy
119.78,25.0,noisy
124.14,25.0,noisy
98.78,25.0,noisy
111.18,25.0,noisy
116.7,25.0,noisy
110.07,25.0,noisy
114.42,25.0,noisy
143.96,25.0,noisy
117.79,24.0,noisy
111.56,24.0,noisy
126.88,24.0,noisy
116.39,24.0,noisy
124.73,25.0,noisy
127.73,25.0,noisy
162.5,25.0,noisy
151.47,25.0,noisy
147.29,25.0,noisy
175.33,25.0,noisy
168.67,24.0,noisy
241.87,24.0,noisy
209.72,24.0,noisy
145.5,24.0,noisy
133.68,24.0,noisy
79.02,24.0,noisy
108.14,24.0,noisy
89.07,24.0,noisy
73.97,24.0,noisy
79.03,24.0,noisy
76.69,23.0,noisy
94.88,23.0,noisy
87.48,24.0,noisy
43.05,24.0,noisy
30.95,24.0,noisy
50.41,24.0,noisy
85.6,23.0,noisy
84.98,23.0,noisy
72.58,23.0,noisy
102.25,23.0,noisy
92.59,23.0,noisy
85.81,23.0,noisy
75.15,23.0,noisy
74.83,23.0,noisy
